Player_Name,Team,Position,Age,Season,FIFA_Rating,Injury,Date of Injury,Date of return,Match1_before_injury_Result,Match1_before_injury_Opposition,Match1_before_injury_GD,Match1_before_injury_Player_rating,Match2_before_injury_Result,Match2_before_injury_Opposition,Match2_before_injury_GD,Match2_before_injury_Player_rating,Match3_before_injury_Result,Match3_before_injury_Opposition,Match3_before_injury_GD,Match3_before_injury_Player_rating,Match1_missed_match_Result,Match1_missed_match_Opposition,Match1_missed_match_GD,Match2_missed_match_Result,Match2_missed_match_Opposition,Match2_missed_match_GD,Match3_missed_match_Result,Match3_missed_match_Opposition,Match3_missed_match_GD,Match1_after_injury_Result,Match1_after_injury_Opposition,Match1_after_injury_GD,Match1_after_injury_Player_rating,Match2_after_injury_Result,Match2_after_injury_Opposition,Match2_after_injury_GD,Match2_after_injury_Player_rating,Match3_after_injury_Result,Match3_after_injury_Opposition,Match3_after_injury_GD,Match3_after_injury_Player_rating,Injury_Month,Injury_Year,avg_rating_before,avg_rating_after,rating_change,team_gd_before,team_gd_missed,performance_drop_index
DeAndre Yedlin,Newcastle,Right Back,26,2019/20,74,Hand injury,2020-01-05,2020-01-23,lose,Man United,-3.0,5.9,lose,Everton,-1.0,5.7,lose,Leicester,-3.0,5.7,draw,Wolves,0.0,win,Chelsea,1.0,draw,Everton,0.0,N.A.,N.A.,,,N.A.,N.A.,,,N.A.,N.A.,,,January,2020.0,5.766666666666667,,,-2.3333333333333335,0.3333333333333333,-2.666666666666667
Emil Krafth,Newcastle,Right Back,25,2019/20,75,Ankle injury,2020-01-21,2020-06-20,win,Chelsea,1.0,6.6,draw,Everton,0.0,5.7,N.A.,N.A.,,,draw,Norwich City,0.0,lose,Arsenal,-4.0,lose,Crystal Palace,-1.0,win,Bournemouth,3.0,6.2,draw,West Ham,0.0,6.3,N.A.,N.A.,,,January,2020.0,6.15,6.25,0.09999999999999964,0.5,-1.6666666666666667,2.166666666666667
Emil Krafth,Newcastle,Right Back,25,2019/20,75,Ankle injury,2020-07-21,2020-09-11,lose,Watford,-1.0,6.0,lose,Tottenham,-2.0,6.1,draw,Brighton,0.0,6.6,lose,Liverpool,-2.0,N.A.,N.A.,,N.A.,N.A.,,N.A.,N.A.,,,N.A.,N.A.,,,N.A.,N.A.,,,July,2020.0,6.233333333333333,,,-1.0,-2.0,1.0
Javier Manquillo,Newcastle,Right Back,26,2019/20,75,Hamstring strain,2020-01-02,2020-02-28,lose,Man United,-3.0,6.1,lose,Leicester,-3.0,5.2,N.A.,N.A.,,,draw,Wolves,0.0,win,Chelsea,1.0,draw,Everton,0.0,draw,Burnley,0.0,6.1,win,Southampton,1.0,6.4,win,Sheffield,3.0,6.8,January,2020.0,5.65,6.433333333333334,0.7833333333333332,-3.0,0.3333333333333333,-3.3333333333333335
Isaac Hayden,Newcastle,Defensive Midfielder,25,2019/20,78,Hamstring strain,2020-07-05,2020-07-25,draw,Aston Villa,0.0,6.3,win,Bournemouth,3.0,6.1,draw,West Ham,0.0,5.9,lose,Man City,-5.0,lose,Watford,-1.0,lose,Tottenham,-2.0,N.A.,N.A.,,,N.A.,N.A.,,,N.A.,N.A.,,,July,2020.0,6.099999999999999,,,1.0,-2.6666666666666665,3.6666666666666665
Sean Longstaff,Newcastle,Central Midfielder,22,2019/20,74,Ankle injury,2019-09-01,2019-09-28,lose,Norwich City,-2.0,6.5,win,Tottenham,1.0,6.0,draw,Watford,0.0,7.1,draw,Brighton,0.0,N.A.,N.A.,,N.A.,N.A.,,lose,Leicester,-5.0,5.9,win,Man United,1.0,7.3,lose,Chelsea,-1.0,6.2,September,2019.0,6.533333333333334,6.466666666666666,-0.0666666666666682,-0.3333333333333333,0.0,-0.3333333333333333
Sean Longstaff,Newcastle,Central Midfielder,22,2019/20,74,Hamstring injury,2020-07-01,2020-07-25,win,Southampton,1.0,6.0,win,Bournemouth,3.0,7.0,N.A.,N.A.,,,draw,West Ham,0.0,lose,Man City,-5.0,lose,Watford,-1.0,N.A.,N.A.,,,N.A.,N.A.,,,N.A.,N.A.,,,July,2020.0,6.5,,,2.0,-2.0,4.0
Jonjo Shelvey,Newcastle,Central Midfielder,28,2019/20,79,Hamstring injury,2019-09-22,2019-10-05,lose,Liverpool,-2.0,5.9,draw,Brighton,0.0,6.6,N.A.,N.A.,,,lose,Leicester,-5.0,N.A.,N.A.,,N.A.,N.A.,,draw,Wolves,0.0,7.3,win,West Ham,1.0,8.0,N.A.,N.A.,,,September,2019.0,6.25,7.65,1.4000000000000004,-1.0,-5.0,4.0
Jonjo Shelvey,Newcastle,Central Midfielder,28,2019/20,79,Calf injury,2019-12-09,2019-12-20,draw,Man City,0.0,7.5,win,Sheffield,2.0,7.6,win,Southampton,1.0,7.4,lose,Burnley,-1.0,N.A.,N.A.,,N.A.,N.A.,,win,Crystal Palace,1.0,6.6,lose,Everton,-1.0,6.0,lose,Leicester,-3.0,6.0,December,2019.0,7.5,6.2,-1.2999999999999998,1.0,-1.0,2.0
Jonjo Shelvey,Newcastle,Central Midfielder,28,2019/20,79,Hamstring strain,2020-01-18,2020-02-28,lose,Leicester,-3.0,6.0,win,Chelsea,1.0,6.9,N.A.,N.A.,,,draw,Norwich City,0.0,lose,Arsenal,-4.0,lose,Crystal Palace,-1.0,draw,Burnley,0.0,6.4,win,Southampton,1.0,7.6,win,Sheffield,3.0,6.3,January,2020.0,6.45,6.766666666666667,0.31666666666666643,-1.0,-1.6666666666666667,0.6666666666666667
